,Title,Original Title,Year,Critic Rating,User Rating,Genre,Production Country,Duration
1,Wiedźmin,The Witcher,2019-,6.5,6.8,Fantasy,"Fantasy, Przygodowy",60 min
2,The Last of Us,No original title,2023-,7.9,8.5,Dramat,"USA, Kanada",60 min
3,Stranger Things,No original title,2016-,8.5,7.9,Dramat,USA,60 min
4,Władca Pierścieni: Pierścienie Władzy,The Lord of the Rings: The Rings of Power,2022-,5.5,4.8,Fantasy,"Fantasy, Przygodowy",67 min
5,Loki,No original title,2021-2023,7.9,8.1,Fantasy,USA,60 min
6,Sukcesja,Succession,2018-2023,9.2,7.9,Dramat,Dramat,56 min
7,Star Wars: Ahsoka,No original title,2023-,6.6,7.3,Sci-Fi,USA,No duration
8,Ród smoka,House of the Dragon,2022-,8.3,7.6,Dramat,"Dramat, Fantasy",62 min
9,Wednesday,No original title,2022-,7.2,7.6,Fantasy,USA,45 min
10,W głębi lasu,No original title,2020-,6.4,6.2,Kryminał,"Polska, USA",51 min
11,The Boys,No original title,2019-,8.2,7.8,Dramat,USA,60 min
12,The Mandalorian,No original title,2019-,7.6,7.5,Sci-Fi,USA,40 min
13,The Crown,No original title,2016-2023,7.5,8.5,Biograficzny,Wielka Brytania,52 min
14,Gambit królowej,The Queen's Gambit,2020-,8.7,7.9,Dramat,Dramat,56 min
15,Czarnobyl,Chernobyl,2019-,9.0,8.8,Dramat,Dramat,64 min
16,One Piece,No original title,2023-,7.5,8.1,Fantasy,"USA, Japonia, RPA, Wielka Brytania",57 min
17,Tajna inwazja,Secret Invasion,2023-,4.4,5.3,Akcja,"Akcja, Sci-Fi",50 min
18,Sex Education,No original title,2019-2023,7.3,7.6,Dramat,Wielka Brytania,50 min
19,Andor,No original title,2022-,8.4,7.5,Przygodowy,USA,40 min
20,Kierunek: Noc,Into the Night,2020-,6.7,6.7,Thriller,Thriller,37 min
21,Dom z papieru,La casa de papel,2017-2021,6.1,7.2,Thriller,"Thriller, Akcja",43 min
22,Devs,No original title,2020-,8.4,7.4,Thriller,USA,50 min
23,The Bear,No original title,2022-,8.6,8.1,Komedia,USA,30 min
24,Sexify,No original title,2021-,6.5,6.2,Dramat,Polska,45 min
25,To nie jest OK,I Am Not Okay with This,2020-,6.2,5.6,Komedia,Komedia,30 min
26,The Office PL,No original title,2021-,7.6,6.5,Komedia,Polska,27 min
27,Westworld,No original title,2016-2022,7.9,8.0,Western,USA,60 min
28,Sandman,The Sandman,2022-,8.1,6.7,Fantasy,"Fantasy, Horror",48 min
29,Squid Game,No original title,2021-2025,7.8,6.7,Dramat,Korea Południowa,58 min
30,Cyberpunk: Edgerunners,No original title,2022-,8.0,7.6,Akcja,"Polska, Japonia, USA",25 min
31,Wiedźmin: Rodowód krwi,The Witcher: Blood Origin,2022-,2.9,1.9,Fantasy,"Fantasy, Przygodowy",52 min
32,Unorthodox,No original title,2020-,8.0,7.4,Dramat,Niemcy,54 min
33,Królowa,No original title,2022-,6.6,5.9,Dramat,Polska,51 min
34,Detektyw,True Detective,2014-,7.1,8.1,Dramat,"Dramat, Kryminał",60 min
35,1670,No original title,2023-,8.0,7.7,Historyczny,Polska,34 min
36,WandaVision,No original title,2021-,7.7,8.2,Akcja,USA,34 min
37,Belfer,No original title,2016-2023,6.2,7.0,Kryminał,Polska,55 min
38,Czarne lustro,Black Mirror,2011-,7.1,8.1,Dramat,"Dramat, Sci-Fi, Thriller",60 min
39,Kajko i Kokosz,No original title,2021-,6.5,6.6,Animacja,Polska,13 min
40,Wielka woda,No original title,2022-,6.9,7.6,Dramat,Polska,44 min
41,#BringBackAlice,No original title,2023-,6.0,6.6,Thriller,Polska,50 min
42,Chilling Adventures of Sabrina,No original title,2018-2020,7.0,6.9,Fantasy,USA,60 min
