,Title,Original Title,Year,Critic Rating,User Rating,Genre,Production Country,Duration
1,Velma,No original title,2023-,2.0,3.1,Animacja,USA,26 min
2,The I-Land,No original title,2019-,2.4,6.4,Sci-Fi,USA,60 min
3,Resident Evil: Remedium,Resident Evil,2022-,2.6,2.3,Horror,"Horror, Akcja",52 min
4,Mecenas She-Hulk,She-Hulk: Attorney at Law,2022-,2.9,4.3,Akcja,"Akcja, Sci-Fi",33 min
5,Wiedźmin: Rodowód krwi,The Witcher: Blood Origin,2022-,2.9,1.9,Fantasy,"Fantasy, Przygodowy",52 min
6,Krakowskie potwory,No original title,2022-,3.3,3.0,Fantasy,Polska,53 min
7,Skarb narodów: Na skraju historii,National Treasure: Edge of History,2022-,3.5,4.8,Przygodowy,Przygodowy,50 min
8,Brokat,No original title,2022-,3.7,5.8,Dramat,Polska,32 min
9,Dziewczyna i kosmonauta,No original title,2023-,4.0,7.4,Romans,Polska,47 min
10,Przeklęta,Cursed,2020-,4.4,4.9,Fantasy,"Fantasy, Przygodowy",60 min
11,Tajna inwazja,Secret Invasion,2023-,4.4,5.3,Akcja,"Akcja, Sci-Fi",50 min
12,Jessica Jones,No original title,2015-2019,4.5,7.7,Kryminał,USA,60 min
13,Botoks,No original title,2018-,4.5,4.7,Thriller,Polska,43 min
14,Echo,No original title,2024-,4.6,6.2,Kryminał,USA,41 min
15,Forst,No original title,2024-,4.8,4.0,Kryminał,Polska,43 min
16,Sky Rojo,No original title,2021-2023,4.9,No user rating,Akcja,Hiszpania,25 min
17,The Rain,Regnen,2018-2020,4.9,5.5,Dramat,"Dramat, Thriller, Sci-Fi",45 min
18,Freud,No original title,2020-,5.0,No user rating,Kryminał,Niemcy,No duration
19,Skazana,No original title,2021-2024,5.0,6.9,Kryminał,Polska,42 min
20,Dziedzictwo Jowisza,Jupiter's Legacy,2021-,5.1,6.2,Sci-Fi,Sci-Fi,45 min
21,Obi-Wan Kenobi,No original title,2022-,5.3,5.2,Przygodowy,USA,No duration
22,Plemiona Europy,Tribes of Europa,2021-,5.3,4.9,Dramat,"Dramat, Sci-Fi",47 min
23,Zabić ból,Painkiller,2023-,5.3,6.3,Dramat,Dramat,48 min
24,Osiecka,No original title,2020-,5.3,3.9,Biograficzny,Polska,45 min
25,Yasuke,No original title,2021-,5.4,No user rating,Akcja,"Japonia, USA",No duration
26,Przeznaczenie: Saga Winx,Fate: The Winx Saga,2021-,5.4,4.7,Fantasy,Fantasy,52 min
27,Idol,The Idol,2023-,5.4,2.4,Dramat,Dramat,55 min
28,Citadel,No original title,2023-,5.5,5.3,USA,42 min,42 min
29,Władca Pierścieni: Pierścienie Władzy,The Lord of the Rings: The Rings of Power,2022-,5.5,4.8,Fantasy,"Fantasy, Przygodowy",67 min
30,Resident Evil: Wieczny mrok,Resident Evil: Infinite Darkness,2021-,5.5,5.8,Animacja,"Animacja, Horror",27 min
31,Różowe lata 90.,That '90s Show,2023-,5.5,No user rating,Komedia,Komedia,23 min
32,Iron Fist,No original title,2017-2018,5.5,4.8,Kryminał,USA,60 min
33,The Eddy,No original title,2020-,5.6,5.2,Dramat,Wielka Brytania,60 min
34,Elemental Gelade,No original title,2005-,5.7,No user rating,Fantasy,Japonia,25 min
35,The Defenders,No original title,2017-,5.7,6.2,Kryminał,USA,50 min
36,Rozłąka,Away,2020-,5.7,6.4,Sci-Fi,Sci-Fi,51 min
37,Fubar,No original title,2023-,5.8,7.0,Komedia,USA,53 min
38,Riverdale,No original title,2017-2023,5.8,3.7,Dramat,USA,45 min
39,Żmijowisko,No original title,2019-,5.8,5.4,Kryminał,Polska,45 min
40,Człowiek kontra pszczoła,Man vs. Bee,2022-,5.8,6.1,Komedia,Komedia,12 min
41,Halo,No original title,2022-,5.8,6.7,Akcja,USA,51 min
42,1983,No original title,2018-,5.9,5.3,Thriller,"Polska, USA",56 min
