,Title,Original Title,Year,Critic Rating,User Rating,Genre,Production Country,Duration
0,Księga dżungli,Jungle Book: Shōnen Mowgli,1989-1990,No critic rating,9.7,Dramat,"Dramat, Przygodowy, Animacja",23 min
1,The Spectacular Spider-Man,No original title,2008-2009,No critic rating,9.7,Animacja,USA,30 min
2,Powrót Sherlocka Holmesa,The Return of Sherlock Holmes,1986-1988,No critic rating,9.7,Kryminał,Kryminał,60 min
3,Akta Sherlocka Holmesa,The Case-Book of Sherlock Holmes,1991-,No critic rating,9.7,Dramat,"Dramat, Kryminał",60 min
4,Mushishi,No original title,2005-2006,No critic rating,9.5,Horror,Japonia,25 min
5,Dom grozy: Miasto Aniołów,Penny Dreadful: City of Angels,2020-,No critic rating,9.5,Dramat,"Dramat, Horror",60 min
6,Ghost in the Shell: Stand Alone Complex,Kōkaku Kidōtai: Stand Alone Complex,2002-2003,No critic rating,9.4,Akcja,"Akcja, Sci-Fi, Animacja",25 min
7,Saiki Kusuo no Psi Nan,No original title,2016-,No critic rating,9.3,Fantasy,Japonia,24 min
8,Rodzina Soprano,The Sopranos,1999-2007,No critic rating,9.3,Dramat,"Dramat, Kryminał",58 min
9,Muzzy in Gondoland,No original title,1986-,No critic rating,9.3,Animacja,Wielka Brytania,25 min
10,Mythic Quest,No original title,2020-,No critic rating,9.3,Komedia,USA,28 min
11,Brygada ratunkowa,Third Watch,1999-2005,No critic rating,9.3,Dramat,"Dramat, Akcja",44 min
12,Siostry na zabój,Bad Sisters,2022-,No critic rating,9.3,Komedia,Komedia,52 min
13,Ojciec Ted,Father Ted,1995-1998,No critic rating,9.3,Komedia,Komedia,25 min
14,Summer Time Rendering,No original title,2022-,No critic rating,9.3,Japonia,23 min,23 min
15,Ekstradycja 3,No original title,1998-1999,No critic rating,9.3,Kryminał,Polska,53 min
16,Brama piekieł,Darker than Black,2007-2008,No critic rating,9.1,Dramat,"Dramat, Fantasy, Akcja, Animacja",24 min
17,Kompania braci,Band of Brothers,2001-,No critic rating,9.1,Dramat,"Dramat, Wojenny",70 min
18,Awatar: Legenda Aanga,Avatar: The Last Airbender,2005-2008,No critic rating,9.0,Animacja,"Animacja, Fantasy, Przygodowy",23 min
19,BoJack Horseman,No original title,2014-2020,8.6,9.0,Dramat,USA,25 min
20,Miranda,No original title,2009-2015,No critic rating,9.0,Komedia,Wielka Brytania,30 min
21,Doktor Who: Ściśle tajne,Doctor Who Confidential,2005-2011,No critic rating,9.0,Dokumentalny,Dokumentalny,30 min
22,Żona idealna,The Good Wife,2009-2016,No critic rating,9.0,Dramat,Dramat,43 min
23,Żony i córki,Wives and Daughters,1999-,No critic rating,9.0,Dramat,Dramat,301 min
24,"Siedem światów, jedna planeta","Seven Worlds, One Planet",2019-,No critic rating,9.0,Dokumentalny,Dokumentalny,57 min
25,Jerry i Paczka,3 Friends & Jerry,1999-,No critic rating,9.0,Animacja,"Animacja, Familijny",25 min
26,Jane Eyre,No original title,2006-,No critic rating,9.0,Dramat,Wielka Brytania,233 min
27,Detroit Metal City,No original title,2008-,No critic rating,9.0,Komedia,Japonia,14 min
28,Blood+,No original title,2005-2006,No critic rating,9.0,Horror,Japonia,25 min
29,Il-ji-mae,No original title,2008-,No critic rating,9.0,Dramat,Korea Południowa,75 min
30,Wyspa Niedźwiedzi,L'Ile aux ours,1992-,No critic rating,9.0,Animacja,Animacja,20 min
31,Strefa mroku,The Twilight Zone,1959-1964,No critic rating,9.0,Dramat,"Dramat, Horror, Sci-Fi",51 min
32,Hanbun no Tsuki ga Noboru Sora,No original title,2006-,No critic rating,9.0,Dramat,Japonia,30 min
33,Złote życie,Aranyélet,2015-,No critic rating,9.0,Dramat,Dramat,58 min
34,Ayakashi: Japanese Classic Horror,No original title,2006-,No critic rating,9.0,Fantasy,Japonia,30 min
35,Star Trek: Voyager,No original title,1995-2001,No critic rating,9.0,Przygodowy,USA,45 min
36,Queer Duck,No original title,1999-,No critic rating,9.0,Animacja,USA,4 min
37,Conan awanturnik,Conan: The Adventurer,1992-1993,No critic rating,9.0,Animacja,"Animacja, Fantasy, Przygodowy",25 min
38,Ekstradycja 2,No original title,1996-1997,No critic rating,9.0,Kryminał,Polska,52 min
39,Mahō Shōjo Madoka Magica,No original title,2011-,No critic rating,9.0,Fantasy,Japonia,24 min
40,Wojna i pokój,War & Peace,2016-,No critic rating,9.0,Historyczny,"Historyczny, Dramat, Romans",60 min
41,The Defiant Ones,No original title,2017-,No critic rating,9.0,Dokumentalny,USA,No duration
