,Title,Original Title,Year,Critic Rating,User Rating,Genre,Production Country,Duration
0,Wiedźmin,The Witcher,2019-,6.5,6.8,Fantasy,"Fantasy, Przygodowy",60 min
1,Czarnobyl,Chernobyl,2019-,9.0,8.8,Dramat,Dramat,64 min
2,Stranger Things,No original title,2016-,8.5,7.9,Dramat,USA,60 min
3,Breaking Bad,No original title,2008-2013,No critic rating,8.9,Dramat,USA,45 min
4,Gra o tron,Game of Thrones,2011-2019,6.5,8.3,Dramat,"Dramat, Fantasy, Przygodowy",60 min
5,Czarne lustro,Black Mirror,2011-,7.1,8.1,Dramat,"Dramat, Sci-Fi, Thriller",60 min
6,Sherlock,No original title,2010-2017,No critic rating,8.3,Dramat,Wielka Brytania,90 min
7,Detektyw,True Detective,2014-,7.1,8.1,Dramat,"Dramat, Kryminał",60 min
8,Dark,No original title,2017-2020,9.0,8.2,Sci-Fi,Niemcy,60 min
9,Gambit królowej,The Queen's Gambit,2020-,8.7,7.9,Dramat,Dramat,56 min
10,Przyjaciele,Friends,1994-2004,No critic rating,8.4,Komedia,Komedia,22 min
11,Ślepnąc od świateł,No original title,2018-,8.6,7.9,Thriller,Polska,58 min
12,Westworld,No original title,2016-2022,7.9,8.0,Western,USA,60 min
13,Dom z papieru,La casa de papel,2017-2021,6.1,7.2,Thriller,"Thriller, Akcja",43 min
14,Dr House,House M.D.,2004-2012,No critic rating,8.0,Dramat,"Dramat, Komedia",45 min
15,BoJack Horseman,No original title,2014-2020,8.6,9.0,Dramat,USA,25 min
16,WandaVision,No original title,2021-,7.7,8.2,Akcja,USA,34 min
17,The Mandalorian,No original title,2019-,7.6,7.5,Sci-Fi,USA,40 min
18,The End of the F***ing World,No original title,2017-2019,7.8,7.5,Dramat,Wielka Brytania,25 min
19,Euforia,Euphoria,2019-,7.3,7.5,Dramat,Dramat,55 min
20,Squid Game,No original title,2021-2025,7.8,6.7,Dramat,Korea Południowa,58 min
21,Miasteczko Twin Peaks,Twin Peaks,1990-1991,No critic rating,8.6,Dramat,"Dramat, Thriller",47 min
22,Loki,No original title,2021-2023,7.9,8.1,Fantasy,USA,60 min
23,"Miłość, śmierć i roboty","Love, Death & Robots",2019-,7.7,7.5,Horror,"Horror, Sci-Fi, Animacja",15 min
24,Rick i Morty,Rick and Morty,2013-,7.8,8.4,Komedia,"Komedia, Przygodowy, Sci-Fi, Animacja",22 min
25,1670,No original title,2023-,8.0,7.7,Historyczny,Polska,34 min
26,Sex Education,No original title,2019-2023,7.3,7.6,Dramat,Wielka Brytania,50 min
27,Falcon i Zimowy Żołnierz,The Falcon and the Winter Soldier,2021-,8.0,7.5,Akcja,"Akcja, Sci-Fi",60 min
28,Daredevil,No original title,2015-2018,8.1,8.1,Kryminał,USA,60 min
29,The Boys,No original title,2019-,8.2,7.8,Dramat,USA,60 min
30,Jessica Jones,No original title,2015-2019,4.5,7.7,Kryminał,USA,60 min
31,House of Cards,No original title,2013-2018,No critic rating,8.1,Dramat,USA,60 min
32,The Last of Us,No original title,2023-,7.9,8.5,Dramat,"USA, Kanada",60 min
33,Zadzwoń do Saula,Better Call Saul,2022-2022,9.1,8.3,Dramat,"Dramat, Komedia, Kryminał",46 min
34,Narcos,No original title,2015-2017,8.9,8.3,Biograficzny,"USA, Kolumbia",49 min
35,Biuro,The Office,2005-2013,No critic rating,8.1,Komedia,Komedia,21 min
36,Wataha,No original title,2014-,7.8,7.5,Dramat,Polska,45 min
37,Mindhunter,No original title,2017-2019,8.6,8.2,Kryminał,USA,60 min
38,W głębi lasu,No original title,2020-,6.4,6.2,Kryminał,"Polska, USA",51 min
39,Peaky Blinders,No original title,2013-2022,8.3,8.1,Kryminał,Wielka Brytania,60 min
40,The Crown,No original title,2016-2023,7.5,8.5,Biograficzny,Wielka Brytania,52 min
41,Wielkie kłamstewka,Big Little Lies,2017-,9.2,8.1,Dramat,Dramat,60 min
