,Title,Original Title,Year,Critic Rating,User Rating,Genre,Production Country,Duration
0,American Horror Stories,No original title,2021-,No critic rating,1.4,Horror,USA,45 min
1,Trzecia połowa,No original title,2018-,No critic rating,1.7,Komedia,Polska,23 min
2,Wiedźmin: Rodowód krwi,The Witcher: Blood Origin,2022-,2.9,1.9,Fantasy,"Fantasy, Przygodowy",52 min
3,Zawsze warto,No original title,2019-,No critic rating,2.3,Obyczajowy,Polska,44 min
4,Resident Evil: Remedium,Resident Evil,2022-,2.6,2.3,Horror,"Horror, Akcja",52 min
5,NOS4A2,No original title,2019-2020,No critic rating,2.3,Horror,USA,60 min
6,Idol,The Idol,2023-,5.4,2.4,Dramat,Dramat,55 min
7,Majka,No original title,2009-2010,No critic rating,2.4,Obyczajowy,Polska,25 min
8,Figo fago,No original title,2008-,No critic rating,2.7,Komedia,Polska,67 min
9,"Dzień, który zmienił moje życie",No original title,2014-2015,No critic rating,2.7,Polska,44 min,44 min
10,Tomek i przyjaciele,Thomas the Tank Engine & Friends,1984-,No critic rating,2.7,Animacja,"Animacja, Familijny",5 min
11,Watashi ga Motenai no wa Dou Kangaete mo Omaera ga Warui!,No original title,2013-,No critic rating,2.7,Komedia,Japonia,25 min
12,Planeta Singli. Osiem historii,No original title,2021-,No critic rating,2.7,Komedia,Polska,50 min
13,Adam i Ewa,No original title,2000-2001,No critic rating,2.7,Dramat,Polska,25 min
14,American Horror Story: Podwójny seans,American Horror Story: Double Feature,2021-,No critic rating,2.7,Horror,Horror,43 min
15,EX-ARM,No original title,2021-,No critic rating,2.8,Akcja,Japonia,No duration
16,Uśmiech losu,Kingdeolaendeu,2023-,No critic rating,2.8,Komedia,"Komedia, Romans",No duration
17,Pętla,No original title,2020-,No critic rating,2.8,Dramat,Polska,45 min
18,Ptaki nocy,Birds of Prey,2002-2003,No critic rating,2.8,Dramat,"Dramat, Przygodowy, Akcja",42 min
19,Wszyscy kochają Romana,No original title,2011-,No critic rating,3.0,Komedia,Polska,22 min
20,Krakowskie potwory,No original title,2022-,3.3,3.0,Fantasy,Polska,53 min
21,Prosto w serce,No original title,2010-2011,No critic rating,3.0,Obyczajowy,Polska,25 min
22,Cagney i Lacey,Cagney & Lacey,1981-1988,No critic rating,3.0,Dramat,"Dramat, Kryminał",48 min
23,Klub przyjaciół Myszki Miki,Mickey Mouse Clubhouse,2006-2016,No critic rating,3.0,Animacja,Animacja,24 min
24,Velma,No original title,2023-,2.0,3.1,Animacja,USA,26 min
25,Ginny & Georgia,No original title,2021-,No critic rating,3.3,Dramat,USA,54 min
26,The Judge from Hell,Jiokeseo on pansa,2024-,No critic rating,3.3,Fantasy,"Fantasy, Romans",No duration
27,DMZ,No original title,2022-,No critic rating,3.3,Akcja,USA,60 min
28,Mechanicy,The Crew,2021-,No critic rating,3.3,Komedia,Komedia,27 min
29,Koci Domek Gabi,Gabby's Dollhouse,2021-,No critic rating,3.3,Animacja,Animacja,24 min
30,Nastoletnia Maria Stuart,Reign,2013-2017,No critic rating,3.3,Dramat,"Dramat, Fantasy",42 min
31,Wymiar 404,Dimension 404,2017-,No critic rating,3.7,Dramat,"Dramat, Sci-Fi",249 min
32,Niezwykła prawniczka Woo,I-sang-han Byeon-ho-sa U-yeong-u,2022-,No critic rating,3.7,Dramat,Dramat,60 min
33,Riverdale,No original title,2017-2023,5.8,3.7,Dramat,USA,45 min
34,Agentki,No original title,2008-,No critic rating,3.7,Obyczajowy,Polska,45 min
35,Unforgettable: Zapisane w pamięci,Unforgettable,2011-2016,No critic rating,3.7,Dramat,"Dramat, Kryminał, Akcja",45 min
36,Strażacy,No original title,2015-2016,No critic rating,3.7,Obyczajowy,Polska,45 min
37,Generał Italia,No original title,2004-2011,No critic rating,3.7,Animacja,Polska,5 min
38,Kobiety mafii,No original title,2018-,No critic rating,3.8,Dramat,Polska,40 min
39,Dragon's Dogma,No original title,2020-,No critic rating,3.8,Animacja,Japonia,26 min
40,Trudne sprawy,No original title,2011-,No critic rating,3.8,Polska,44 min,44 min
41,Osiecka,No original title,2020-,5.3,3.9,Biograficzny,Polska,45 min
